SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,HIVAF15_16,HIVDD15_16,HIVAF16_17,HIVDD016_17
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007011,Kyaukkyi,ကျောက်ကြီး,9,0,0,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007012,Phyu,ဖြူး,38,0,136,5
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007013,Oktwin,အုတ်တွင်း,21,0,13,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007014,Htantabin,ထန်းတပင်,14,0,16,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008001,Pyay,ပြည်,9,0,0,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008002,Paukkhaung,ပေါက်ခေါင်း,2,0,6,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008003,Padaung,ပန်းတောင်း,45,0,7,1
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008004,Paungde,ပေါင်းတည်,24,1,23,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008005,Thegon,သဲကုန်း,9,0,12,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008006,Shwedaung,ရွှေတောင်,18,3,4,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008007,Thayarwady,သာယာဝတီ,1,0,1,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008008,Letpadan,လက်ပံတန်း,12,0,17,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008009,Minhla,မင်းလှ,4,0,6,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008010,Okpho,အုတ်ဖို,0,0,8,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008011,Zigon,ဇီးကုန်း,16,0,18,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008012,Nattalin,နတ္တလင်း,13,0,3,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008013,Monyo,မိုးညို,0,0,2,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008014,Gyobingauk,ကြို့ပင်ကောက်,0,0,40,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009001,Magway,မကွေး,4,0,0,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009002,Yenangyaung,ရေနံချောင်း,11,0,22,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009003,Chauk,ချောက်,0,0,4,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009004,Taungdwingyi,တောင်တွင်းကြီး,3,0,8,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009005,Myothit,မြို့သစ်,3,0,0,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009006,Natmauk,နတ်မောက်,28,0,32,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009007,Minbu,မင်းဘူး,10,0,0,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009008,Pwintbyu,ပွင့်ဖြူ,23,0,4,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009009,Ngape,ငဖဲ,4,0,2,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009010,Salin,စလင်း,17,1,3,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009011,Sidoktaya,စေတုတ္တရာ,6,0,8,1
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009012,Thayet,သရက်,50,1,21,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009013,Minhla,မင်းလှ,0,0,0,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009014,Mindon,မင်းတုန်း,0,0,0,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009015,Kamma,ကံမ,2,0,2,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009016,Aunglan,အောင်လံ,11,0,37,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009017,Sinbaungwe,ဆင်ပေါင်ဝဲ,4,2,3,1
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009018,Pakokku,ပခုက္ကူ,459,116,414,138
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009019,Yesagyo,ရေစကြို,4,0,0,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009020,Myaing,မြိုင်,20,0,14,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009021,Pauk,ပေါက်,2,1,14,0
