SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISAF01,DISDD01,DISAF02,DISDD02,DISAF03,DISDD03,DISAF04,DISDD04,DISAF05,DISDD05,DISAF06,DISDD06,DISAF07,DISDD07,DISAF08,DISDD08,DISAF09,DISDD09,DISAF10,DISDD10,DISAF11,DISDD11,DISAF12,DISDD12,DISAF13,DISDD13,DISAF14,DISDD14,DISAF15,DISDD15,DISAF16,DISDD16,DISAF17,DISDD17
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005011,Taze,တန့်ဆည်,81,0,2173,0,60,0,536,0,10,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005012,Monywa,မုံရွာ,141,4,2468,0,641,10,0,0,1,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005013,Budalin,ဘုတလင်,55,0,1503,0,0,0,708,0,24,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005014,Ayadaw,အရာတော်,35,0,2019,0,859,0,704,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005015,Chaung-U,ချောင်းဦး,4,0,940,0,245,11,461,0,11,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005016,Yinmabin,ယင်းမာပင်,147,0,933,0,199,0,324,0,4,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005017,Kani,ကနီ,338,0,1407,0,301,0,458,0,21,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005018,Salingyi,ဆားလင်းကြီး,78,0,2026,0,163,11,618,0,25,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005019,Pale,ပုလဲ,130,0,1922,0,135,0,777,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005020,Katha,ကသာ,968,0,2791,0,281,0,743,0,4,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
