SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,PAGODANB,STUPPANB,STATUENB,MONASTERYNB,NUMBUILDNB,DHAMAHALLNB,MONKNB,YGMONKNB,NUNNB
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006008,Tanintharyi,တနင်္သာရီ,2,121,1,110,0,100,290,76,8
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006009,Kawthoung,ကော့သောင်း,16,41,0,129,4,16,744,352,63
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006010,Bokpyin,ဘုတ်ပြင်း,5,43,0,101,0,52,252,141,3
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007001,Bago,ပဲခူး,10,68,0,689,92,20,6433,4446,1799
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007002,Thanatpin,သနပ်ပင်,7,0,0,159,2,1,930,472,7
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007003,Kawa,ကဝ,5,32,0,220,0,4,1074,194,5
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007004,Waw,ဝေါ,5,5,5,165,0,6,899,561,4
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007005,Nyaunglebin,ညောင်လေးပင်,133,312,0,272,5,267,1904,1154,211
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007006,Kyauktaga,ကျောက်တံခါး,0,5,0,236,0,0,1122,478,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007007,Daik-U,ဒိုက်ဦး,50,164,164,259,3,30,1595,800,52
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007008,Shwegyin,ရွှေကျင်,4,72,0,182,22,2,844,389,67
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007009,Taungoo,တောင်ငူ,0,75,0,319,26,23,2163,855,243
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007010,Yedashe,ရေတာရှည်,0,11,0,316,16,18,1218,658,132
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007011,Kyaukkyi,ကျောက်ကြီး,0,117,0,125,0,0,492,157,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007012,Phyu,ဖြူး,25,251,0,261,1,90,1359,539,43
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007013,Oktwin,အုတ်တွင်း,8,95,0,207,8,129,914,339,59
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007014,Htantabin,ထန်းတပင်,54,64,0,111,0,0,713,245,20
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008001,Pyay,ပြည်,64,100,26,650,145,550,2765,1150,1178
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008002,Paukkhaung,ပေါက်ခေါင်း,0,34,0,220,2,1,419,120,14
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008003,Padaung,ပန်းတောင်း,62,0,0,308,28,0,616,234,160
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008004,Paungde,ပေါင်းတည်,45,55,23,227,1,82,524,214,17
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008005,Thegon,သဲကုန်း,7,76,0,247,0,202,557,319,87
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008006,Shwedaung,ရွှေတောင်,33,142,0,282,2,26,740,206,173
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008007,Thayarwady,သာယာဝတီ,31,31,0,206,2,16,832,274,92
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008008,Letpadan,လက်ပံတန်း,8,15,0,277,7,171,815,183,38
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008009,Minhla,မင်းလှ,5,47,0,167,16,1,549,332,129
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008010,Okpho,အုတ်ဖို,32,64,0,218,15,5,564,225,126
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008011,Zigon,ဇီးကုန်း,127,80,0,126,1,86,288,92,25
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008012,Nattalin,နတ္တလင်း,120,291,0,266,8,237,655,253,171
